timestamp,date,time,battery_voltage_mV,temperature_celsius,measurement_µV,gain_factor,latitude,longitude,elevation
1746901034,10.5.2025,18:17,4183,22.0,27361,8,48.0090559,7.8168558,296.998199
1746901036,10.5.2025,18:17,4183,22.0,29068,8,48.0090324,7.8168768,296.998199
1746901039,10.5.2025,18:17,4183,22.0,18220,8,48.0089963,7.8169099,296.998199
1746901041,10.5.2025,18:17,4183,22.0,33675,4,48.0089723,7.8169319,296.998199
1746901043,10.5.2025,18:17,4183,22.0,44613,4,48.0089671,7.8169678,296.998199
1746901046,10.5.2025,18:17,4183,22.0,25476,8,48.0089622,7.8170238,296.998199
1746901048,10.5.2025,18:17,4183,22.0,32146,8,48.008959,7.8170612,296.998199
1746901050,10.5.2025,18:17,4183,22.0,44976,4,48.0089495,7.8170919,296.998199
1746901053,10.5.2025,18:17,4183,22.0,42632,4,48.0089206,7.8171223,296.998199
1746901055,10.5.2025,18:17,4183,22.0,62062,4,48.0089014,7.8171425,296.998199
1746901057,10.5.2025,18:17,4183,22.0,81492,2,48.0088821,7.8171628,296.998199
1746901059,10.5.2025,18:17,4183,22.0,171359,1,48.0088611,7.8171757,296.998199
1746901062,10.5.2025,18:17,4183,22.0,170343,1,48.0088292,7.8171937,296.998199
1746901064,10.5.2025,18:17,4183,22.0,393625,1,48.008808,7.8172057,296.998199
