timestamp,date,time,battery_voltage_mV,temperature_celsius,measurement_µV,gain_factor
1746900834,10.5.2025,18:13,4183,21.75,765,8
1746900836,10.5.2025,18:13,4183,21.75,779,8
1746900838,10.5.2025,18:13,4183,21.75,783,8
1746900841,10.5.2025,18:14,4183,21.75,9107,8
1746900843,10.5.2025,18:14,4183,21.75,13339,8
1746900845,10.5.2025,18:14,4183,21.75,13345,8
1746900848,10.5.2025,18:14,4183,21.75,4322,8
1746900850,10.5.2025,18:14,4183,21.75,328,8
1746900852,10.5.2025,18:14,4183,21.75,306,8
1746900855,10.5.2025,18:14,4183,21.75,283,8
1746900857,10.5.2025,18:14,4183,21.75,275,8
1746900859,10.5.2025,18:14,4183,21.75,263,8
1746900861,10.5.2025,18:14,4183,21.75,253,8
1746900864,10.5.2025,18:14,4183,21.75,244,8
1746900866,10.5.2025,18:14,4183,21.75,238,8
1746900868,10.5.2025,18:14,4183,21.75,238,8
1746900871,10.5.2025,18:14,4183,21.75,3621,8
1746900873,10.5.2025,18:14,4183,21.75,14181,8
1746900875,10.5.2025,18:14,4183,21.75,49074,4
1746900878,10.5.2025,18:14,4183,21.75,58726,4
1746900880,10.5.2025,18:14,4183,21.75,59433,4
1746900882,10.5.2025,18:14,4183,21.75,62785,4
1746900884,10.5.2025,18:14,4183,21.75,87515,2
1746900887,10.5.2025,18:14,4183,21.75,51960,4
1746900889,10.5.2025,18:14,4183,21.75,46722,4
1746900891,10.5.2025,18:14,4183,21.75,29269,4
1746900894,10.5.2025,18:14,4183,21.75,22771,8
1746900896,10.5.2025,18:14,4183,21.75,37632,4
1746900898,10.5.2025,18:14,4183,21.75,66183,4
1746900901,10.5.2025,18:15,4183,21.75,382671,1
1746900903,10.5.2025,18:15,4183,21.75,187062,1
1746900905,10.5.2025,18:15,4183,21.75,90882,2
1746900907,10.5.2025,18:15,4183,21.75,74234,2
1746900910,10.5.2025,18:15,4183,21.75,75968,2
1746900912,10.5.2025,18:15,4183,21.75,88312,2
1746900914,10.5.2025,18:15,4183,21.75,85882,2
1746900917,10.5.2025,18:15,4183,21.75,74210,2
1746900919,10.5.2025,18:15,4183,21.75,61726,2
1746900921,10.5.2025,18:15,4183,21.75,59445,4
1746900924,10.5.2025,18:15,4183,21.75,66625,2
1746900926,10.5.2025,18:15,4183,21.75,76304,2
1746900928,10.5.2025,18:15,4183,21.75,386812,1
1746900930,10.5.2025,18:15,4183,21.75,373687,1
1746900933,10.5.2025,18:15,4183,21.75,366078,1
1746900935,10.5.2025,18:15,4183,21.75,375828,1
1746900937,10.5.2025,18:15,4183,21.75,375656,1
1746900940,10.5.2025,18:15,4183,21.75,372187,1
1746900942,10.5.2025,18:15,4183,21.75,369859,1
1746900944,10.5.2025,18:15,4183,21.75,381250,1
1746900947,10.5.2025,18:15,4183,21.75,379968,1
1746900949,10.5.2025,18:15,4183,21.75,373609,1
1746900951,10.5.2025,18:15,4183,21.75,375656,1
1746900954,10.5.2025,18:15,4183,21.75,78476,2
1746900956,10.5.2025,18:15,4183,21.75,63593,2
1746900958,10.5.2025,18:15,4183,21.75,53210,4
1746900960,10.5.2025,18:16,4183,21.75,63421,4
1746900963,10.5.2025,18:16,4183,21.75,77093,2
1746900965,10.5.2025,18:16,4183,21.75,94992,2
1746900967,10.5.2025,18:16,4183,22.00,83937,2
1746900970,10.5.2025,18:16,4183,22.00,87757,2
1746900972,10.5.2025,18:16,4183,22.00,117273,2
1746900974,10.5.2025,18:16,4183,22.00,103476,2
1746900977,10.5.2025,18:16,4183,22.00,72992,2
1746900979,10.5.2025,18:16,4183,22.00,45699,4
