timestamp,date,time,battery_voltage_mV,temperature_celsius,measurement_µV,gain_factor
1746527033,6.5.2025,10:23,3860,23.25,121437,2
1746527035,6.5.2025,10:23,3860,23.25,121453,2
1746527037,6.5.2025,10:23,3860,23.25,121476,2
1746527040,6.5.2025,10:24,3860,23.25,121492,2
1746527042,6.5.2025,10:24,3860,23.25,121484,2
1746527044,6.5.2025,10:24,3860,23.25,121539,2
1746527046,6.5.2025,10:24,3860,23.25,121539,2
1746527049,6.5.2025,10:24,3860,23.25,121554,2
1746527051,6.5.2025,10:24,3860,23.25,121562,2
1746527053,6.5.2025,10:24,3860,23.25,121585,2
1746527056,6.5.2025,10:24,3860,23.25,121585,2
1746527058,6.5.2025,10:24,3860,23.25,121601,2
1746527060,6.5.2025,10:24,3860,23.25,121601,2
1746527063,6.5.2025,10:24,3860,23.25,121546,2
1746527065,6.5.2025,10:24,3860,23.25,121468,2
1746527067,6.5.2025,10:24,3860,23.25,121531,2
1746527069,6.5.2025,10:24,3860,23.25,121570,2
1746527072,6.5.2025,10:24,3860,23.25,121671,2
1746527074,6.5.2025,10:24,3860,23.25,121671,2
1746527076,6.5.2025,10:24,3860,23.25,121687,2
1746527079,6.5.2025,10:24,3860,23.25,121703,2
1746527081,6.5.2025,10:24,3860,23.25,121718,2
1746527083,6.5.2025,10:24,3860,23.25,121742,2
1746527085,6.5.2025,10:24,3860,23.25,121757,2
1746527088,6.5.2025,10:24,3860,23.25,121789,2
1746527090,6.5.2025,10:24,3860,23.25,121835,2
1746527092,6.5.2025,10:24,3860,23.25,121828,2
1746527095,6.5.2025,10:24,3860,23.25,121835,2
1746527097,6.5.2025,10:24,3860,23.25,121867,2
1746527099,6.5.2025,10:24,3860,23.25,121875,2
1746527101,6.5.2025,10:25,3860,23.25,121796,2
1746527104,6.5.2025,10:25,3860,23.25,121898,2
1746527106,6.5.2025,10:25,3860,23.25,121929,2
1746527108,6.5.2025,10:25,3860,23.25,121914,2
1746527111,6.5.2025,10:25,3860,23.25,121921,2
1746527113,6.5.2025,10:25,3860,23.25,121921,2
1746527115,6.5.2025,10:25,3860,23.25,121945,2
1746527118,6.5.2025,10:25,3860,23.25,121953,2
1746527120,6.5.2025,10:25,3860,23.25,121945,2
1746527122,6.5.2025,10:25,3860,23.25,121937,2
1746527124,6.5.2025,10:25,3860,23.25,121937,2
1746527127,6.5.2025,10:25,3860,23.25,122000,2
1746527129,6.5.2025,10:25,3860,23.25,121929,2
1746527131,6.5.2025,10:25,3860,23.25,121726,2
1746527134,6.5.2025,10:25,3860,23.25,121703,2
1746527136,6.5.2025,10:25,3860,23.25,121710,2
1746527138,6.5.2025,10:25,3860,23.25,121679,2
1746527140,6.5.2025,10:25,3860,23.25,121640,2
1746527143,6.5.2025,10:25,3860,23.25,121632,2
1746527145,6.5.2025,10:25,3860,23.25,121656,2
1746527147,6.5.2025,10:25,3860,23.25,121640,2
1746527150,6.5.2025,10:25,3860,23.25,121640,2
1746527152,6.5.2025,10:25,3860,23.25,121593,2
1746527154,6.5.2025,10:25,3860,23.25,121578,2
1746527156,6.5.2025,10:25,3860,23.25,121578,2
1746527159,6.5.2025,10:25,3860,23.25,121546,2
1746527161,6.5.2025,10:26,3860,23.25,121546,2
1746527163,6.5.2025,10:26,3860,23.25,121531,2
1746527166,6.5.2025,10:26,3860,23.25,121515,2
1746527168,6.5.2025,10:26,3860,23.25,121492,2
1746527170,6.5.2025,10:26,3860,23.25,121468,2
1746527172,6.5.2025,10:26,3860,23.25,121398,2
1746527175,6.5.2025,10:26,3860,23.25,121398,2
1746527177,6.5.2025,10:26,3860,23.25,121375,2
1746527179,6.5.2025,10:26,3860,23.25,121367,2
1746527182,6.5.2025,10:26,3860,23.25,121335,2
1746527184,6.5.2025,10:26,3860,23.25,121320,2
1746527186,6.5.2025,10:26,3860,23.25,121421,2
1746527188,6.5.2025,10:26,3860,23.25,121242,2
1746527191,6.5.2025,10:26,3860,23.25,121218,2
1746527193,6.5.2025,10:26,3860,23.25,121156,2
1746527195,6.5.2025,10:26,3860,23.25,121132,2
1746527198,6.5.2025,10:26,3860,23.25,121101,2
1746527200,6.5.2025,10:26,3860,23.25,121078,2
1746527202,6.5.2025,10:26,3860,23.25,121039,2
1746527205,6.5.2025,10:26,3860,23.25,121007,2
1746527207,6.5.2025,10:26,3860,23.25,120960,2
1746527209,6.5.2025,10:26,3860,23.25,120929,2
1746527211,6.5.2025,10:26,3860,23.25,120898,2
1746527214,6.5.2025,10:26,3860,23.25,120843,2
1746527216,6.5.2025,10:26,3860,23.25,120820,2
1746527218,6.5.2025,10:26,3860,23.25,120750,2
1746527221,6.5.2025,10:27,3860,23.25,121039,2
1746527223,6.5.2025,10:27,3860,23.25,121007,2
1746527225,6.5.2025,10:27,3860,23.25,120984,2
1746527227,6.5.2025,10:27,3860,23.25,120953,2
1746527230,6.5.2025,10:27,3860,23.25,120906,2
1746527232,6.5.2025,10:27,3860,23.25,120914,2
