timestamp,date,time,battery_voltage_mV,temperature_celsius,measurement_µV,gain_factor
1746731844,8.5.2025,19:17,4189,24.00,11099,8
1746731846,8.5.2025,19:17,4189,24.00,9453,8
1746731848,8.5.2025,19:17,4189,24.00,10041,8
1746731850,8.5.2025,19:17,4189,24.00,9085,8
1746731853,8.5.2025,19:17,4189,24.00,8601,8
1746731855,8.5.2025,19:17,4189,24.00,10828,8
1746731857,8.5.2025,19:17,4189,24.00,7634,8
1746731860,8.5.2025,19:17,4189,24.00,5380,8
1746731862,8.5.2025,19:17,4189,24.00,11037,8
1746731864,8.5.2025,19:17,4189,24.00,11369,8
1746731867,8.5.2025,19:17,4189,24.00,8132,8
1746731869,8.5.2025,19:17,4189,24.00,8146,8
1746731871,8.5.2025,19:17,4189,24.00,8605,8
1746731873,8.5.2025,19:17,4189,24.00,8123,8
1746731876,8.5.2025,19:17,4189,24.00,10173,8
1746731878,8.5.2025,19:17,4189,24.00,8181,8
1746731880,8.5.2025,19:18,4189,24.00,8128,8
1746731883,8.5.2025,19:18,4189,24.00,8343,8
1746731885,8.5.2025,19:18,4189,24.00,9027,8
1746731887,8.5.2025,19:18,4189,24.00,8306,8
1746731890,8.5.2025,19:18,4189,24.00,8281,8
1746731892,8.5.2025,19:18,4189,24.00,11169,8
1746731894,8.5.2025,19:18,4189,24.00,7839,8
1746731896,8.5.2025,19:18,4189,24.00,7849,8
1746731899,8.5.2025,19:18,4189,24.00,7773,8
1746731901,8.5.2025,19:18,4189,24.00,7609,8
1746731903,8.5.2025,19:18,4189,24.00,7818,8
1746731906,8.5.2025,19:18,4189,24.00,7785,8
1746731908,8.5.2025,19:18,4189,24.00,7468,8
1746731910,8.5.2025,19:18,4189,24.00,4814,8
1746731913,8.5.2025,19:18,4189,24.00,4251,8
1746731915,8.5.2025,19:18,4189,24.00,4130,8
1746731917,8.5.2025,19:18,4189,24.00,12486,8
1746731919,8.5.2025,19:18,4189,24.00,9527,8
1746731922,8.5.2025,19:18,4189,24.00,10033,8
1746731924,8.5.2025,19:18,4189,24.00,7183,8
1746731926,8.5.2025,19:18,4189,24.00,7685,8
1746731929,8.5.2025,19:18,4189,24.00,11199,8
1746731931,8.5.2025,19:18,4189,24.00,11056,8
1746731933,8.5.2025,19:18,4189,24.00,11091,8
1746731936,8.5.2025,19:18,4189,24.00,10904,8
1746731938,8.5.2025,19:18,4189,24.00,7738,8
1746731940,8.5.2025,19:19,4189,24.00,6398,8
1746731942,8.5.2025,19:19,4189,24.00,9494,8
1746731945,8.5.2025,19:19,4189,24.00,10468,8
1746731947,8.5.2025,19:19,4189,24.00,10572,8
1746731949,8.5.2025,19:19,4189,24.00,10269,8
1746731952,8.5.2025,19:19,4189,24.00,7527,8
1746731954,8.5.2025,19:19,4189,24.00,10197,8
1746731956,8.5.2025,19:19,4189,24.00,8494,8
1746731959,8.5.2025,19:19,4189,24.00,2001,8
1746731961,8.5.2025,19:19,4189,24.00,18351,8
1746731963,8.5.2025,19:19,4189,24.00,17832,8
1746731965,8.5.2025,19:19,4189,24.00,16087,8
1746731968,8.5.2025,19:19,4189,24.00,15843,8
1746731970,8.5.2025,19:19,4189,24.00,15857,8
1746731972,8.5.2025,19:19,4189,24.00,14792,8
1746731975,8.5.2025,19:19,4189,24.00,9203,8
1746731977,8.5.2025,19:19,4189,24.00,14769,8
1746731979,8.5.2025,19:19,4189,24.00,14873,8
